Lachnospiraceae	0.34318588732479	1
Bacteroidaceae	0.307774556287805	1
Verrucomicrobiaceae	0.0883880220918528	0.967741935483871
Ruminococcaceae	0.0705099226511735	1
Unclassified	0.0575440537945736	1
Oxalobacteraceae	0.0334356423702406	0.790322580645161
Eubacteriaceae	0.0176682393252726	1
Enterobacteriaceae	0.0143649351181024	0.782258064516129
Nitrosomonadaceae	0.0104048235068568	0.725806451612903
Lactobacillaceae	0.00574403099551889	0.137096774193548
Corynebacteriaceae	0.00501051469169298	0.217741935483871
Staphylococcaceae	0.00464084795927014	0.0645161290322581
Erysipelotrichaceae	0.00414046488279559	1
Prevotellaceae	0.00384373708744608	0.838709677419355
