Lachnospiraceae	0.245568200978391	1
Bacteroidaceae	0.242801910987903	1
Ruminococcaceae	0.0984371435034064	1
Neisseriaceae	0.0593388945006956	0.0220820189274448
Unclassified	0.0429065757464735	1
Rikenellaceae	0.039412061718524	1
Porphyromonadaceae	0.0356778307882392	0.993690851735016
Staphylococcaceae	0.0304367605413051	0.0126182965299685
Prevotellaceae	0.0250894470544657	0.634069400630915
Clostridiales Family XI. Incertae Sedis	0.0221031281982001	0.542586750788643
Oxalobacteraceae	0.0139912770795208	0.95583596214511
Eubacteriaceae	0.0129604925433564	0.996845425867508
Verrucomicrobiaceae	0.0121178641878002	0.760252365930599
Micrococcaceae	0.0104122418205549	0.00946372239747634
